"Breaths" discarded as artifacts

Polysomnogram       number of artifacts
VSN-14-080-001      29
VSN-14-080-003      7
VSN-14-080-004      2
VSN-14-080-005      38
VSN-14-080-006      0
VSN-14-080-007      72
VSN-14-080-008      63
VSN-14-080-009      102
VSN-14-080-010      35
VSN-14-080-011      32
VSN-14-080-012      41
VSN-14-080-013      7
VSN-14-080-014      26
VSN-14-080-015      1
VSN-14-080-016      101
VSN-14-080-017      22
VSN-14-080-018      108
VSN-14-080-019      123
VSN-14-080-020      53
VSN-14-080-021      96
VSN-14-080-022      89
VSN-14-080-023      107
VSN-14-080-024      72
VSN-14-080-025      83
VSN-14-080-026      85
VSN-14-080-027      27
VSN-14-080-028      149
VSN-14-080-029      18
